// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	-0.040041	0.060893	10.100756	0.041131	-0.013627	0.288239	0.999843	0.000798	0.002355	-0.017537
07552	-0.027059	0.080962	10.099479	0.053740	0.008325	0.287006	0.999839	0.000678	0.002304	-0.017803
07553	-0.025728	0.068456	10.107890	0.054754	-0.004317	0.295318	0.999839	0.000677	0.002292	-0.017798
07554	-0.021171	0.082405	10.075690	0.059316	0.009711	0.263182	0.999839	0.000676	0.002280	-0.017793
07555	-0.042392	0.045854	10.109161	0.036893	-0.026135	0.296565	0.999839	0.000662	0.002276	-0.017795
07556	-0.032652	0.036336	10.093771	0.046027	-0.035780	0.281034	0.999839	0.000666	0.002267	-0.017790
07557	-0.030102	0.065008	10.107900	0.049504	-0.007492	0.295343	0.999839	0.000680	0.002256	-0.017794
07558	-0.019886	0.076238	10.095378	0.059891	0.003341	0.282820	0.999839	0.000678	0.002255	-0.017784
07559	-0.038362	0.066358	10.088229	0.041054	-0.005830	0.275748	0.999839	0.000680	0.002256	-0.017797
07560	-0.030813	0.071367	10.119175	0.049148	-0.001259	0.306666	0.999839	0.000672	0.002270	-0.017793
07561	-0.026934	0.064771	10.084117	0.052468	-0.007656	0.271535	0.999839	0.000672	0.002250	-0.017774
07562	-0.039292	0.052113	10.096633	0.039415	-0.020023	0.284060	0.999839	0.000681	0.002237	-0.017770
07563	-0.011917	0.072445	10.091284	0.067409	-0.000824	0.278638	0.999839	0.000689	0.002245	-0.017772
07564	-0.041368	0.071308	10.099504	0.038073	-0.001147	0.287081	0.999839	0.000698	0.002244	-0.017772
07565	-0.028610	0.070919	10.095396	0.050768	-0.002175	0.282870	0.999840	0.000710	0.002247	-0.017748
07566	-0.041475	0.058196	10.107902	0.037752	-0.014609	0.295386	0.999839	0.000705	0.002261	-0.017766
07567	-0.037507	0.051543	10.072844	0.041132	-0.020988	0.260253	0.999839	0.000696	0.002238	-0.017780
07568	-0.015526	0.056822	10.099700	0.063226	-0.016649	0.286973	0.999840	0.000702	0.002236	-0.017758
07569	-0.041733	0.064378	10.119182	0.037385	-0.008365	0.306713	0.999839	0.000702	0.002232	-0.017779
07570	-0.034638	0.066624	10.095406	0.044258	-0.006107	0.282899	0.999839	0.000694	0.002225	-0.017768
07571	-0.032789	0.074485	10.106691	0.046474	0.001714	0.294224	0.999839	0.000690	0.002231	-0.017773
07572	-0.039926	0.076625	10.087012	0.039335	0.004194	0.274618	0.999840	0.000700	0.002232	-0.017762
07573	-0.018685	0.061372	10.110997	0.060160	-0.011951	0.298327	0.999840	0.000686	0.002227	-0.017762
07574	-0.025850	0.063528	10.091318	0.053022	-0.009475	0.278720	0.999840	0.000708	0.002242	-0.017744
07575	-0.041314	0.062843	10.095406	0.037674	-0.010038	0.282923	0.999840	0.000725	0.002237	-0.017728
07576	-0.028930	0.041797	10.088424	0.049140	-0.031495	0.275696	0.999840	0.000713	0.002231	-0.017751
07577	-0.026458	0.070190	10.102610	0.052575	-0.003195	0.290064	0.999840	0.000715	0.002222	-0.017749
07578	-0.033459	0.072458	10.082928	0.045464	-0.000711	0.270454	0.999840	0.000729	0.002226	-0.017750
07579	-0.014865	0.069131	10.098530	0.063987	-0.004996	0.285886	0.999840	0.000732	0.002218	-0.017746
07580	-0.021848	0.071284	10.078850	0.056885	-0.002513	0.266277	0.999840	0.000735	0.002220	-0.017748
07581	-0.031403	0.067393	10.102615	0.047343	-0.006351	0.290088	0.999840	0.000743	0.002215	-0.017755
07582	-0.041504	0.060758	10.071637	0.036726	-0.012451	0.259144	0.999840	0.000742	0.002215	-0.017746
07583	-0.016641	0.074850	10.109838	0.062272	0.000464	0.297249	0.999840	0.000744	0.002206	-0.017744
07584	-0.021105	0.065174	10.098545	0.057482	-0.008923	0.285923	0.999840	0.000736	0.002222	-0.017742
07585	-0.019177	0.073036	10.109846	0.059687	-0.001118	0.297265	0.999840	0.000735	0.002199	-0.017733
07586	-0.048815	0.051180	10.115080	0.029079	-0.021932	0.302574	0.999840	0.000734	0.002197	-0.017732
07587	-0.027070	0.074273	10.090167	0.051311	0.000538	0.277659	0.999840	0.000737	0.002186	-0.017736
07588	-0.014620	0.053183	10.083189	0.062845	-0.020938	0.270435	0.999840	0.000735	0.002185	-0.017736
07589	-0.032264	0.084342	10.081786	0.046462	0.010823	0.269391	0.999840	0.000739	0.002203	-0.017723
07590	-0.039240	0.068607	10.113925	0.039209	-0.004903	0.301470	0.999840	0.000736	0.002186	-0.017739
07591	-0.029394	0.059343	10.098561	0.048426	-0.014504	0.285964	0.999840	0.000750	0.002189	-0.017737
07592	-0.013538	0.067593	10.105807	0.064674	-0.006957	0.293145	0.999840	0.000743	0.002191	-0.017738
07593	-0.043074	0.066147	10.113926	0.035275	-0.007286	0.301483	0.999840	0.000740	0.002200	-0.017734
07594	-0.022012	0.068817	10.086124	0.056250	-0.005202	0.273537	0.999840	0.000747	0.002196	-0.017733
07595	-0.032122	0.044408	10.106944	0.045423	-0.029530	0.294260	0.999840	0.000751	0.002198	-0.017731
07596	-0.024669	0.067378	10.086127	0.053595	-0.006822	0.273551	0.999840	0.000761	0.002204	-0.017730
07597	-0.025980	0.066676	10.086129	0.052300	-0.007608	0.273557	0.999840	0.000766	0.002200	-0.017717
07598	-0.032388	0.071542	10.121183	0.046211	-0.002892	0.308694	0.999840	0.000772	0.002192	-0.017736
07599	-0.011288	0.074134	10.093398	0.067191	-0.000796	0.280766	0.999840	0.000762	0.002204	-0.017733
07600	-0.038102	0.061047	10.109872	0.040051	-0.013018	0.297353	0.999840	0.000768	0.002189	-0.017715
07601	-0.025215	0.060565	10.105829	0.052765	-0.014004	0.293207	0.999841	0.000771	0.002194	-0.017707
07602	-0.026505	0.059821	10.105830	0.051446	-0.014799	0.293213	0.999841	0.000776	0.002189	-0.017693
07603	-0.047456	0.061708	10.090177	0.030327	-0.012051	0.277737	0.999841	0.000772	0.002181	-0.017702
07604	-0.014322	0.078897	10.104736	0.064087	0.003866	0.292163	0.999840	0.000773	0.002180	-0.017713
07605	-0.024359	0.072166	10.073727	0.053538	-0.002188	0.261185	0.999840	0.000763	0.002177	-0.017724
07606	-0.017285	0.056633	10.101801	0.060203	-0.018172	0.289092	0.999840	0.000773	0.002174	-0.017720
07607	-0.027378	0.050125	10.070785	0.049688	-0.024211	0.258108	0.999840	0.000777	0.002180	-0.017713
07608	-0.037132	0.046261	10.094512	0.040066	-0.028113	0.281881	0.999840	0.000792	0.002183	-0.017710
07609	-0.023447	0.086775	10.096380	0.055263	0.011786	0.283935	0.999840	0.000787	0.002187	-0.017725
07610	0.002805	0.065917	10.085380	0.080838	-0.009871	0.272579	0.999840	0.000788	0.002199	-0.017732
07611	-0.012644	0.064821	10.089410	0.065460	-0.010428	0.276721	0.999840	0.000785	0.002195	-0.017731
07612	-0.034017	0.046207	10.070784	0.043127	-0.028100	0.258128	0.999840	0.000786	0.002182	-0.017739
07613	-0.042589	0.083254	10.100416	0.035912	0.008928	0.288094	0.999840	0.000793	0.002176	-0.017748
07614	-0.015470	0.082870	10.092379	0.062680	0.007731	0.279846	0.999840	0.000777	0.002157	-0.017754
07615	-0.030578	0.081678	10.096404	0.047275	0.007173	0.283980	0.999840	0.000780	0.002147	-0.017750
07616	-0.040584	0.057193	10.117162	0.036380	-0.017174	0.304638	0.999840	0.000784	0.002138	-0.017745
07617	-0.027770	0.056617	10.113147	0.049083	-0.018128	0.300521	0.999840	0.000779	0.002143	-0.017751
07618	-0.020286	0.079520	10.092397	0.057277	0.004678	0.279880	0.999840	0.000781	0.002145	-0.017743
07619	-0.021466	0.078819	10.092400	0.055963	0.003915	0.279888	0.999840	0.000789	0.002129	-0.017748
07620	-0.025524	0.069308	10.081069	0.051188	-0.005433	0.268521	0.999840	0.000787	0.002116	-0.017742
07621	-0.037568	0.076871	10.096418	0.039274	0.002570	0.284016	0.999840	0.000777	0.002103	-0.017751
07622	-0.019538	0.052923	10.109143	0.056505	-0.022209	0.296431	0.999840	0.000797	0.002112	-0.017752
07623	-0.020295	0.072847	10.112116	0.056347	-0.002529	0.299554	0.999840	0.000802	0.002094	-0.017733
07624	-0.027544	0.054584	10.089441	0.048099	-0.020428	0.276804	0.999840	0.000804	0.002092	-0.017742
07625	-0.042389	0.073861	10.096421	0.033930	-0.000565	0.284036	0.999840	0.000790	0.002087	-0.017742
07626	-0.029924	0.052690	10.089444	0.045455	-0.021999	0.276813	0.999840	0.000793	0.002078	-0.017738
07627	-0.030282	0.093086	10.095402	0.046569	0.018105	0.283066	0.999840	0.000813	0.002086	-0.017738
07628	-0.018460	0.051696	10.085446	0.056860	-0.023761	0.272720	0.999840	0.000810	0.002082	-0.017738
07629	-0.010702	0.074514	10.064730	0.065110	-0.000902	0.252114	0.999840	0.000798	0.002071	-0.017740
07630	-0.034562	0.070071	10.092429	0.041302	-0.004591	0.279958	0.999840	0.000796	0.002081	-0.017724
07631	-0.021670	0.069527	10.088438	0.054027	-0.005584	0.275868	0.999840	0.000800	0.002059	-0.017724
07632	-0.028733	0.053740	10.120498	0.046522	-0.021391	0.307865	0.999840	0.000801	0.002069	-0.017729
07633	-0.038266	0.067594	10.092432	0.037300	-0.006939	0.279972	0.999840	0.000793	0.002060	-0.017726
07634	-0.025409	0.067016	10.088447	0.050001	-0.007930	0.275887	0.999840	0.000800	0.002061	-0.017736
07635	-0.012640	0.066503	10.084464	0.062692	-0.008903	0.271805	0.999840	0.000798	0.002058	-0.017724
07636	-0.031121	0.056614	10.077098	0.043856	-0.018025	0.264506	0.999840	0.000794	0.002063	-0.017726
07637	-0.043408	0.064252	10.092433	0.031900	-0.010038	0.279988	0.999840	0.000795	0.002051	-0.017734
