// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	-0.054799	-0.003702	9.793343	0.010939	-0.014550	-0.019208	0.999271	-0.000995	-0.000536	0.038155
07552	-0.048932	0.009829	9.791584	0.015555	-0.000549	-0.020989	0.999271	-0.000998	-0.000541	0.038155
07553	-0.052527	-0.006018	9.779003	0.013267	-0.016690	-0.033565	0.999271	-0.000986	-0.000519	0.038153
07554	-0.060667	0.012703	9.774845	0.004014	0.001308	-0.037646	0.999271	-0.000992	-0.000511	0.038148
07555	-0.080841	0.006844	9.788558	-0.015562	-0.006094	-0.023807	0.999272	-0.000984	-0.000517	0.038137
07556	-0.063640	-0.003041	9.762270	0.002059	-0.014727	-0.050221	0.999272	-0.000982	-0.000523	0.038143
07557	-0.054431	-0.000415	9.807697	0.011187	-0.011533	-0.004852	0.999271	-0.000975	-0.000532	0.038156
07558	-0.067268	0.031756	9.770697	-0.004323	0.019647	-0.041728	0.999272	-0.000987	-0.000524	0.038143
07559	-0.046821	0.010675	9.791593	0.017808	0.000213	-0.020993	0.999271	-0.000980	-0.000532	0.038156
07560	-0.077271	0.004992	9.774230	-0.012285	-0.007923	-0.038161	0.999271	-0.000971	-0.000530	0.038157
07561	-0.058041	0.013551	9.774860	0.006238	0.002089	-0.037648	0.999271	-0.000980	-0.000533	0.038149
07562	-0.064786	0.002549	9.790970	0.000568	-0.009320	-0.021507	0.999271	-0.000980	-0.000518	0.038148
07563	-0.059182	0.016172	9.789206	0.005177	0.004702	-0.023291	0.999271	-0.000980	-0.000525	0.038152
07564	-0.055043	0.032377	9.801786	0.008109	0.021056	-0.010719	0.999271	-0.000971	-0.000523	0.038165
07565	-0.065150	0.032466	9.770709	-0.002105	0.020440	-0.041729	0.999271	-0.000983	-0.000517	0.038164
07566	-0.085867	-0.000381	9.819039	-0.019728	-0.014012	0.006698	0.999271	-0.000962	-0.000504	0.038153
07567	-0.061942	0.000738	9.776634	0.003851	-0.011127	-0.035864	0.999272	-0.000974	-0.000506	0.038141
07568	-0.053339	-0.017815	9.780794	0.013783	-0.028906	-0.031784	0.999271	-0.000968	-0.000514	0.038152
07569	-0.047700	-0.004035	9.779029	0.018401	-0.014906	-0.033570	0.999272	-0.000957	-0.000500	0.038141
07570	-0.061082	0.001198	9.776640	0.004819	-0.010781	-0.035864	0.999271	-0.000960	-0.000496	0.038152
07571	-0.062422	0.003802	9.790985	0.003444	-0.008302	-0.021507	0.999271	-0.000957	-0.000493	0.038157
07572	-0.048383	0.025895	9.758762	0.015738	0.014831	-0.053795	0.999271	-0.000955	-0.000493	0.038160
07573	-0.060555	0.001499	9.776643	0.005454	-0.010580	-0.035864	0.999271	-0.000947	-0.000490	0.038160
07574	-0.063295	0.006640	9.805333	0.002412	-0.005743	-0.007150	0.999271	-0.000951	-0.000505	0.038163
07575	-0.049235	0.001586	9.807724	0.016622	-0.009623	-0.004858	0.999271	-0.000955	-0.000510	0.038161
07576	-0.069114	0.022746	9.786837	-0.004845	0.010015	-0.025586	0.999270	-0.000956	-0.000496	0.038182
07577	-0.053842	0.015248	9.774882	0.011054	0.003750	-0.037652	0.999271	-0.000957	-0.000490	0.038170
07578	-0.055214	0.017823	9.789227	0.009703	0.006236	-0.023296	0.999271	-0.000959	-0.000485	0.038169
07579	-0.039749	0.010351	9.777271	0.025623	-0.000027	-0.035363	0.999271	-0.000957	-0.000489	0.038163
07580	-0.059791	0.004458	9.791001	0.006070	-0.007424	-0.021507	0.999270	-0.000962	-0.000496	0.038185
07581	-0.057735	0.001990	9.776660	0.008077	-0.009696	-0.035865	0.999269	-0.000960	-0.000503	0.038204
07582	-0.070817	0.007226	9.774278	-0.005518	-0.005554	-0.038154	0.999270	-0.000952	-0.000509	0.038180
07583	-0.057129	0.002355	9.776664	0.008706	-0.009440	-0.035865	0.999270	-0.000952	-0.000485	0.038188
07584	-0.053128	0.018438	9.789237	0.011671	0.006929	-0.023298	0.999270	-0.000956	-0.000498	0.038177
07585	-0.059583	0.007396	9.805356	0.006007	-0.004478	-0.007150	0.999271	-0.000964	-0.000501	0.038171
07586	-0.084740	0.015096	9.786247	-0.019796	0.001289	-0.026082	0.999271	-0.000955	-0.000498	0.038171
07587	-0.055757	0.002516	9.776671	0.009994	-0.008987	-0.035866	0.999271	-0.000969	-0.000501	0.038159
07588	-0.050097	0.016033	9.774900	0.014627	0.005016	-0.037658	0.999271	-0.000965	-0.000496	0.038152
07589	-0.075602	-0.003345	9.790410	-0.009225	-0.016270	-0.022003	0.999271	-0.000969	-0.000501	0.038164
07590	-0.066736	0.005180	9.759951	-0.001276	-0.007003	-0.052510	0.999271	-0.000971	-0.000497	0.038163
07591	-0.076085	0.026294	9.770143	-0.012262	0.013380	-0.042229	0.999271	-0.000975	-0.000513	0.038153
07592	-0.050168	0.018708	9.789252	0.014173	0.007863	-0.023302	0.999271	-0.000979	-0.000510	0.038160
07593	-0.074000	-0.003253	9.790422	-0.008012	-0.015762	-0.022001	0.999271	-0.000985	-0.000524	0.038159
07594	-0.068109	0.010320	9.788652	-0.003405	-0.001766	-0.023794	0.999271	-0.000982	-0.000531	0.038154
07595	-0.058104	-0.010598	9.778463	0.008197	-0.021929	-0.034074	0.999271	-0.000976	-0.000516	0.038148
07596	-0.052513	0.002975	9.776689	0.012825	-0.007943	-0.035868	0.999271	-0.000985	-0.000520	0.038154
07597	-0.058793	0.019085	9.758193	0.005203	0.007702	-0.054303	0.999272	-0.000980	-0.000516	0.038137
07598	-0.058823	-0.007999	9.792813	0.007471	-0.019230	-0.019716	0.999271	-0.000996	-0.000520	0.038159
07599	-0.066762	0.010625	9.788661	-0.001837	-0.001216	-0.023793	0.999271	-0.000985	-0.000508	0.038148
07600	-0.070176	-0.005150	9.776095	-0.004158	-0.017367	-0.036356	0.999271	-0.000979	-0.000526	0.038150
07601	-0.058941	0.021891	9.772545	0.004770	0.010525	-0.039947	0.999272	-0.000992	-0.000528	0.038137
07602	-0.055933	-0.010237	9.778476	0.010368	-0.021138	-0.034074	0.999272	-0.000993	-0.000513	0.038135
07603	-0.073522	0.029512	9.784518	-0.010211	0.017145	-0.027869	0.999272	-0.000992	-0.000532	0.038143
07604	-0.046081	0.019524	9.789271	0.017918	0.009226	-0.023310	0.999271	-0.000988	-0.000518	0.038148
07605	-0.063108	0.008866	9.774329	0.001667	-0.002886	-0.038151	0.999272	-0.000971	-0.000529	0.038148
07606	-0.065849	0.014230	9.803021	-0.001366	0.001972	-0.009435	0.999271	-0.000963	-0.000528	0.038160
07607	-0.052349	0.015208	9.729520	0.011592	0.004095	-0.083023	0.999270	-0.000977	-0.000523	0.038180
