// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07551	-0.021468	0.059624	9.805685	0.124165	0.024450	-0.007614	-0.999976	0.002703	-0.005857	0.002360
07552	-0.001996	0.063538	9.864504	0.144263	0.027785	0.050927	-0.999977	0.002677	-0.005854	0.002354
07553	-0.009717	0.071499	9.833562	0.136135	0.035839	0.020132	-0.999976	0.002693	-0.005860	0.002370
07554	-0.022863	0.063923	9.834629	0.123081	0.028391	0.021365	-0.999976	0.002692	-0.005858	0.002363
07555	-0.036025	0.058757	9.850166	0.110070	0.023237	0.037077	-0.999976	0.002689	-0.005859	0.002372
07556	-0.009068	0.040838	9.853095	0.136897	0.005211	0.039544	-0.999976	0.002694	-0.005851	0.002382
07557	-0.011278	0.068486	9.819093	0.134188	0.032977	0.005679	-0.999976	0.002689	-0.005846	0.002376
07558	-0.017246	0.053286	9.851097	0.128699	0.017448	0.037713	-0.999976	0.002671	-0.005854	0.002383
07559	-0.005175	0.065055	9.878980	0.141244	0.028861	0.065456	-0.999977	0.002670	-0.005849	0.002370
07560	-0.025077	0.061112	9.820154	0.120337	0.025131	0.006919	-0.999977	0.002662	-0.005837	0.002351
07561	-0.012866	0.072858	9.848038	0.132883	0.036572	0.034664	-0.999977	0.002652	-0.005840	0.002358
07562	-0.005970	0.060262	9.850036	0.139673	0.023858	0.036515	-0.999977	0.002653	-0.005834	0.002332
07563	-0.026528	0.065430	9.849098	0.119148	0.029132	0.035899	-0.999977	0.002649	-0.005842	0.002355
07564	-0.014383	0.072666	9.848037	0.131290	0.036247	0.034686	-0.999977	0.002647	-0.005834	0.002356
07565	-0.047400	0.072971	9.862628	0.098240	0.036453	0.049768	-0.999977	0.002632	-0.005813	0.002352
07566	-0.027673	0.067732	9.863567	0.117909	0.030860	0.050398	-0.999977	0.002625	-0.005821	0.002350
07567	-0.008023	0.057872	9.835562	0.137083	0.020889	0.022071	-0.999977	0.002617	-0.005823	0.002327
07568	-0.015898	0.070306	9.833563	0.129313	0.033303	0.020233	-0.999977	0.002616	-0.005825	0.002312
07569	-0.021784	0.052650	9.851092	0.123526	0.015644	0.037782	-0.999977	0.002618	-0.005818	0.002341
07570	-0.014892	0.040058	9.853091	0.130340	0.002952	0.039634	-0.999977	0.002611	-0.005818	0.002351
07571	-0.029825	0.060504	9.820145	0.115067	0.023524	0.006987	-0.999977	0.002612	-0.005818	0.002359
07572	-0.010396	0.057391	9.835563	0.134869	0.020170	0.022103	-0.999977	0.002605	-0.005831	0.002385
