// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59330	-9.734069	1.860471	-1.894533	0.306302	-0.308336	0.267680	-0.362560	-0.692691	-0.343463	0.520349
59331	-9.576671	1.956070	-1.770327	0.363852	-0.453019	0.103727	-0.362916	-0.692360	-0.344399	0.519922
59332	-9.468464	1.709042	-1.671550	0.135765	-0.409532	-0.056636	-0.362756	-0.692176	-0.345335	0.519657
59333	-9.516888	1.544161	-1.710588	0.011160	-0.311627	-0.025735	-0.362213	-0.692113	-0.346179	0.519558
59334	-9.519150	1.400036	-1.826749	-0.047139	-0.158388	-0.020651	-0.361165	-0.692310	-0.346786	0.519621
59335	-9.535781	1.183299	-1.962347	-0.160142	0.044953	-0.006851	-0.360150	-0.692462	-0.347368	0.519735
59336	-9.456623	0.969733	-2.046348	-0.274158	0.213733	-0.094933	-0.358808	-0.692886	-0.347505	0.520005
59337	-9.515354	0.866487	-2.248382	-0.269152	0.413556	-0.009398	-0.357491	-0.693386	-0.347351	0.520350
59338	-9.344517	0.980595	-2.145696	-0.176271	0.270117	-0.180372	-0.355836	-0.694139	-0.346752	0.520878
59339	-9.335885	1.247014	-2.253663	0.110246	0.209843	-0.130922	-0.354674	-0.694619	-0.346520	0.521186
59340	-9.369834	1.290060	-2.135827	0.087369	0.069938	-0.116953	-0.353817	-0.694954	-0.346494	0.521339
59341	-9.381511	1.233903	-2.183869	0.064167	0.127609	-0.102685	-0.353378	-0.695081	-0.346728	0.521312
59342	-9.433647	1.089376	-2.148370	-0.083900	0.157846	-0.078009	-0.353075	-0.695148	-0.346964	0.521270
59343	-9.454234	1.109543	-2.166824	-0.059800	0.153384	-0.051455	-0.352641	-0.695292	-0.347048	0.521317
59344	-9.460676	1.203096	-2.100186	-0.012134	0.040999	-0.047403	-0.352359	-0.695379	-0.347179	0.521304
59345	-9.543446	1.061941	-2.205753	-0.096957	0.189661	0.037443	-0.352343	-0.695356	-0.347348	0.521233
59346	-9.565533	0.906528	-2.244223	-0.213660	0.299486	0.047455	-0.352157	-0.695451	-0.347092	0.521402
59347	-9.526662	1.071078	-2.278198	-0.048737	0.249268	0.037702	-0.351929	-0.695608	-0.346593	0.521679
59348	-9.410514	1.105807	-2.220491	-0.022027	0.200342	-0.082809	-0.351805	-0.695721	-0.346008	0.522000
59349	-9.424578	1.221211	-2.141888	0.033185	0.078412	-0.071309	-0.351874	-0.695772	-0.345536	0.522199
59350	-9.501784	1.331125	-2.104178	0.089297	-0.012264	0.009493	-0.352149	-0.695695	-0.345219	0.522325
59351	-9.628301	1.338934	-2.090239	0.059499	-0.032178	0.130221	-0.352843	-0.695394	-0.345135	0.522313
59352	-9.549765	1.151643	-2.148813	-0.054334	0.136287	0.042268	-0.353381	-0.695138	-0.344881	0.522458
59353	-9.527824	1.400223	-2.032287	0.102823	-0.076090	0.028749	-0.353826	-0.694920	-0.344504	0.522695
59354	-9.492380	1.341680	-1.869723	-0.018888	-0.166471	-0.046769	-0.354349	-0.694660	-0.344237	0.522863
59355	-9.370660	1.197247	-1.879063	-0.109899	-0.058627	-0.181591	-0.354658	-0.694505	-0.343887	0.523090
59356	-9.347068	1.286788	-1.746695	-0.094195	-0.207111	-0.219842	-0.354669	-0.694544	-0.343485	0.523294
59357	-9.420780	1.302127	-1.814109	-0.065406	-0.161903	-0.132443	-0.354628	-0.694650	-0.343161	0.523393
59358	-9.509400	1.361173	-1.887726	-0.001222	-0.137273	-0.023605	-0.354725	-0.694712	-0.342994	0.523355
59359	-9.626191	1.259260	-2.053108	-0.034524	0.046137	0.110075	-0.354970	-0.694688	-0.342932	0.523261
59360	-9.428941	1.227272	-2.032000	-0.031921	0.070250	-0.089818	-0.355196	-0.694689	-0.342755	0.523223
59361	-9.354556	1.262698	-1.993213	-0.008611	0.031169	-0.165202	-0.355473	-0.694694	-0.342664	0.523087
59362	-9.476503	1.264026	-2.020073	-0.026443	0.044967	-0.041309	-0.356106	-0.694549	-0.342807	0.522756
59363	-9.458645	1.210405	-2.071324	-0.049563	0.124217	-0.055457	-0.356895	-0.694339	-0.343079	0.522317
59364	-9.509879	1.250372	-2.091715	-0.024935	0.122820	0.003666	-0.357873	-0.694040	-0.343429	0.521816
59365	-9.575523	1.232174	-2.173267	-0.023771	0.204112	0.081237	-0.358893	-0.693737	-0.343661	0.521365
59366	-9.556958	1.340626	-2.105106	0.031299	0.103706	0.064176	-0.359805	-0.693459	-0.343697	0.521082
59367	-9.403918	1.344218	-2.015180	0.018266	0.053913	-0.101957	-0.360693	-0.693180	-0.343651	0.520871
59368	-9.470544	1.461046	-1.887860	0.035258	-0.109889	-0.046596	-0.361344	-0.693029	-0.343514	0.520710
59369	-9.617891	1.529419	-1.941286	0.080461	-0.102555	0.116791	-0.362196	-0.692719	-0.343514	0.520531
59370	-9.531075	1.397913	-1.928898	-0.021788	-0.025148	0.011521	-0.362888	-0.692453	-0.343426	0.520461
59371	-9.465479	1.363357	-1.949746	-0.029715	0.028021	-0.052878	-0.363495	-0.692216	-0.343309	0.520430
59372	-9.419162	1.396882	-1.882502	-0.025810	-0.031828	-0.106296	-0.363893	-0.692100	-0.343047	0.520479
59373	-9.435116	1.405794	-1.914924	-0.009347	-0.001372	-0.083119	-0.364273	-0.692019	-0.342790	0.520491
59374	-9.509043	1.355310	-1.959446	-0.050951	0.063666	-0.010058	-0.364770	-0.691865	-0.342653	0.520437
59375	-9.493126	1.289154	-1.896841	-0.137045	0.052788	-0.047556	-0.364957	-0.691904	-0.342286	0.520496
59376	-9.548733	1.496297	-1.861004	0.005224	-0.080411	0.029774	-0.365423	-0.691816	-0.342019	0.520461
59377	-9.586298	1.225512	-2.019050	-0.162182	0.198058	0.056964	-0.365667	-0.691864	-0.341485	0.520576
59378	-9.469394	1.293635	-2.013842	-0.084235	0.180738	-0.047510	-0.365891	-0.691910	-0.340757	0.520835
59379	-9.475927	1.316042	-2.003565	-0.075703	0.170853	-0.040047	-0.365812	-0.692189	-0.339736	0.521187
59380	-9.528773	1.527259	-1.831973	0.004148	-0.077543	0.009742	-0.366006	-0.692312	-0.338908	0.521427
59381	-9.549849	1.339606	-1.947739	-0.108691	0.125461	0.023993	-0.365744	-0.692677	-0.337745	0.521879
59382	-9.649451	1.928866	-1.722495	0.253941	-0.370384	0.167180	-0.364879	-0.693357	-0.336059	0.522670
59383	-9.588036	1.936902	-1.878570	0.348156	-0.228840	0.139070	-0.364562	-0.693608	-0.334870	0.523320
59384	-9.519530	1.637536	-1.853512	0.100670	-0.080460	0.022041	-0.364059	-0.693846	-0.333719	0.524089
59385	-9.457612	1.560005	-1.741441	-0.001679	-0.124905	-0.071176	-0.362949	-0.694375	-0.332259	0.525086
59386	-9.448626	1.772649	-1.567593	0.096842	-0.380897	-0.080179	-0.361993	-0.694788	-0.331075	0.525947
59387	-9.425552	1.556101	-1.590960	-0.063784	-0.243815	-0.131256	-0.361404	-0.695012	-0.330363	0.526504
59388	-9.380049	1.486216	-1.633991	-0.087183	-0.167673	-0.177939	-0.360621	-0.695379	-0.329702	0.526970
59389	-9.441359	1.572296	-1.721429	0.016131	-0.148288	-0.088879	-0.360048	-0.695675	-0.329338	0.527199
59390	-9.436463	1.493609	-1.818596	0.001222	-0.028728	-0.087248	-0.359809	-0.695804	-0.329348	0.527185
59391	-9.462397	1.450088	-1.913512	0.006156	0.068234	-0.050692	-0.359654	-0.695931	-0.329402	0.527089
59392	-9.529343	1.460153	-2.034617	0.058899	0.156124	0.038822	-0.359733	-0.695927	-0.329617	0.526906
59393	-9.535256	1.525095	-1.965643	0.075114	0.061396	0.041315	-0.359845	-0.695924	-0.329761	0.526744
59394	-9.478458	1.532786	-1.945470	0.083076	0.045011	-0.016437	-0.360206	-0.695738	-0.330117	0.526519
59395	-9.476720	1.394311	-1.982207	-0.014495	0.150492	-0.032165	-0.360432	-0.695610	-0.330356	0.526384
59396	-9.489147	1.593846	-1.860528	0.088240	-0.058886	-0.012964	-0.360444	-0.695593	-0.330416	0.526361
59397	-9.600322	1.645885	-1.811491	0.082555	-0.136498	0.093431	-0.360614	-0.695440	-0.330602	0.526330
59398	-9.471745	1.453473	-1.857022	-0.024367	0.016023	-0.051836	-0.360901	-0.695198	-0.330895	0.526269
59399	-9.468758	1.497752	-1.755064	-0.035705	-0.092924	-0.067382	-0.360800	-0.695180	-0.330964	0.526318
59400	-9.471739	1.695247	-1.761471	0.133743	-0.193449	-0.033363	-0.360865	-0.695072	-0.331196	0.526271
59401	-9.457342	1.569039	-1.837377	0.071434	-0.061825	-0.052041	-0.361226	-0.694762	-0.331755	0.526080
59402	-9.462104	1.531161	-1.836406	0.040898	-0.044576	-0.053354	-0.361338	-0.694571	-0.332257	0.525939
59403	-9.542291	1.635956	-1.756819	0.073947	-0.177739	0.025048	-0.361334	-0.694431	-0.332743	0.525818
59404	-9.473942	1.642020	-1.731391	0.085544	-0.200336	-0.045289	-0.361682	-0.694070	-0.333558	0.525540
59405	-9.479585	1.366802	-1.727402	-0.145234	-0.065298	-0.081848	-0.361803	-0.693858	-0.334363	0.525225
59406	-9.513284	1.371461	-1.706956	-0.155997	-0.096088	-0.052380	-0.361725	-0.693753	-0.335017	0.525000
59407	-9.431247	1.502501	-1.845911	0.043834	-0.048289	-0.085968	-0.361574	-0.693729	-0.335607	0.524760
59408	-9.479480	1.530121	-1.954755	0.111780	0.016711	-0.014213	-0.361638	-0.693577	-0.336382	0.524420
59409	-9.513407	1.463847	-1.913970	0.030238	0.005623	0.001084	-0.361816	-0.693363	-0.337247	0.524024
59410	-9.441731	1.308913	-2.054746	-0.012949	0.204986	-0.063875	-0.361947	-0.693134	-0.338056	0.523715
59411	-9.525560	1.468709	-1.806361	-0.015543	-0.104378	-0.007322	-0.361886	-0.693035	-0.338704	0.523469
59412	-9.494055	1.357689	-1.794614	-0.105480	-0.061879	-0.056352	-0.362003	-0.692859	-0.339439	0.523146
59413	-9.472240	1.276480	-1.923658	-0.104871	0.084816	-0.064097	-0.362063	-0.692732	-0.340094	0.522846
59414	-9.498815	1.414090	-1.947330	0.017873	0.024582	-0.013795	-0.362056	-0.692691	-0.340636	0.522554
59415	-9.506953	1.277987	-2.110145	-0.020370	0.226806	0.006491	-0.362334	-0.692493	-0.341297	0.522191
59416	-9.495531	1.330471	-2.038275	-0.008063	0.135220	-0.011082	-0.362365	-0.692437	-0.341718	0.521969
59417	-9.437037	1.316855	-2.010076	-0.019970	0.119791	-0.075263	-0.362585	-0.692265	-0.342236	0.521704
59418	-9.545834	1.389849	-1.919283	-0.026004	-0.008232	0.022836	-0.362745	-0.692150	-0.342606	0.521503
59419	-9.505338	1.264051	-2.009045	-0.080769	0.135326	-0.016734	-0.362965	-0.692016	-0.342913	0.521326
59420	-9.486121	1.287302	-1.927296	-0.096219	0.054507	-0.048166	-0.362965	-0.692016	-0.343011	0.521262
59421	-9.469522	1.297291	-2.002162	-0.048657	0.114300	-0.048055	-0.363013	-0.692010	-0.343072	0.521196
59422	-9.486898	1.348971	-1.971253	-0.024425	0.059681	-0.029915	-0.363105	-0.691992	-0.343143	0.521110
59423	-9.517050	1.426859	-1.933781	0.015919	-0.014643	0.003076	-0.363257	-0.691947	-0.343241	0.520999
59424	-9.515075	1.308797	-1.983321	-0.061821	0.089884	-0.005993	-0.363559	-0.691829	-0.343337	0.520881
59425	-9.476412	1.308007	-2.019749	-0.038075	0.128968	-0.036463	-0.363854	-0.691708	-0.343347	0.520828
59426	-9.477478	1.228328	-1.953190	-0.139540	0.115878	-0.060076	-0.363900	-0.691770	-0.343122	0.520864
59427	-9.462400	1.495770	-1.902862	0.064848	-0.058537	-0.046030	-0.364023	-0.691788	-0.342971	0.520853
59428	-9.494398	1.420139	-1.846312	-0.036305	-0.068373	-0.037041	-0.364345	-0.691713	-0.342998	0.520709
59429	-9.500281	1.437751	-1.841986	-0.027860	-0.078326	-0.029617	-0.364618	-0.691669	-0.343008	0.520571
59430	-9.470665	1.426110	-1.921622	0.003853	0.001033	-0.044377	-0.364800	-0.691669	-0.342997	0.520450
59431	-9.469337	1.472018	-1.954072	0.055490	0.007457	-0.032583	-0.364987	-0.691681	-0.342990	0.520308
59432	-9.530496	1.483726	-1.905616	0.025356	-0.044100	0.018924	-0.365255	-0.691631	-0.343051	0.520145
59433	-9.483809	1.349618	-1.997365	-0.037517	0.109308	-0.027994	-0.365468	-0.691613	-0.343021	0.520040
59434	-9.496728	1.439913	-1.964622	0.018293	0.037060	-0.008646	-0.365617	-0.691619	-0.342911	0.519999
59435	-9.474707	1.429695	-1.995163	0.026323	0.074162	-0.025523	-0.365821	-0.691611	-0.342765	0.519962
59436	-9.510019	1.493269	-1.897186	0.023258	-0.041611	-0.001094	-0.366019	-0.691590	-0.342648	0.519929
59437	-9.450426	1.436557	-1.933104	0.003285	0.028092	-0.060235	-0.366356	-0.691471	-0.342628	0.519862
59438	-9.522056	1.497971	-1.898082	0.020432	-0.035374	0.011493	-0.366512	-0.691475	-0.342473	0.519849
59439	-9.527616	1.587792	-1.911470	0.099680	-0.064959	0.032927	-0.366908	-0.691328	-0.342472	0.519766
59440	-9.491666	1.401688	-1.942609	-0.037322	0.064669	-0.023683	-0.367239	-0.691178	-0.342456	0.519743
59441	-9.439793	1.507968	-1.911008	0.048680	-0.006047	-0.064190	-0.367384	-0.691138	-0.342285	0.519806
59442	-9.505249	1.555555	-1.878414	0.058029	-0.059707	0.000112	-0.367599	-0.691048	-0.342204	0.519826
59443	-9.492659	1.503667	-1.893515	0.023215	-0.013982	-0.016961	-0.368017	-0.690826	-0.342266	0.519786
59444	-9.484430	1.415650	-1.908991	-0.042919	0.048985	-0.035240	-0.368077	-0.690807	-0.342106	0.519872
59445	-9.479276	1.616539	-1.820077	0.086950	-0.124276	-0.027007	-0.368222	-0.690735	-0.342002	0.519935
59446	-9.456638	1.483702	-1.833230	-0.014928	-0.040519	-0.066496	-0.368409	-0.690632	-0.341992	0.519947
59447	-9.479022	1.458205	-1.767030	-0.072971	-0.084232	-0.061370	-0.368454	-0.690604	-0.341955	0.519976
59448	-9.479992	1.519682	-1.807973	-0.001488	-0.079127	-0.043236	-0.368417	-0.690637	-0.341865	0.520016
59449	-9.510339	1.596681	-1.836410	0.070230	-0.095613	0.003333	-0.368509	-0.690594	-0.341944	0.519957
59450	-9.490104	1.480989	-1.928907	0.019612	0.044741	-0.016070	-0.368723	-0.690481	-0.342091	0.519859
59451	-9.500390	1.399019	-1.950967	-0.042408	0.104653	-0.014311	-0.368616	-0.690555	-0.341964	0.519919
59452	-9.477670	1.547487	-1.896690	0.063699	-0.014056	-0.024219	-0.368577	-0.690566	-0.341849	0.520007
59453	-9.517648	1.481292	-1.904500	0.002028	0.023898	0.005988	-0.368673	-0.690523	-0.341802	0.520028
59454	-9.468434	1.398875	-1.871642	-0.072740	0.043534	-0.060562	-0.368783	-0.690474	-0.341790	0.520023
59455	-9.478408	1.510326	-1.861135	0.014360	-0.021023	-0.035956	-0.368742	-0.690529	-0.341653	0.520069
59456	-9.499850	1.587201	-1.802677	0.046631	-0.110614	-0.014647	-0.368853	-0.690489	-0.341643	0.520050
59457	-9.502094	1.444641	-1.830468	-0.062685	-0.013652	-0.028860	-0.368899	-0.690480	-0.341584	0.520069
59458	-9.495115	1.565593	-1.826720	0.039804	-0.075971	-0.017901	-0.368876	-0.690506	-0.341491	0.520112
59459	-9.490373	1.481982	-1.877297	-0.006817	0.010928	-0.025577	-0.368944	-0.690491	-0.341459	0.520105
59460	-9.501053	1.550913	-1.835361	0.029284	-0.060009	-0.012716	-0.368888	-0.690535	-0.341378	0.520139
59461	-9.471438	1.536130	-1.848595	0.029305	-0.038197	-0.041156	-0.368967	-0.690500	-0.341420	0.520102
59462	-9.480115	1.496374	-1.835577	-0.013298	-0.029576	-0.041300	-0.369050	-0.690483	-0.341444	0.520050
59463	-9.488703	1.498794	-1.922036	0.026817	0.043038	-0.016080	-0.369117	-0.690474	-0.341497	0.519979
59464	-9.525123	1.546567	-1.848439	0.023819	-0.047639	0.012471	-0.369143	-0.690463	-0.341536	0.519949
59465	-9.496354	1.531463	-1.929094	0.055397	0.031696	-0.002312	-0.369165	-0.690457	-0.341579	0.519914
59466	-9.498043	1.508158	-1.839860	-0.006898	-0.033626	-0.021300	-0.369174	-0.690442	-0.341599	0.519913
59467	-9.509559	1.456043	-1.915670	-0.017568	0.057731	-0.003614	-0.369257	-0.690369	-0.341592	0.519956
59468	-9.473945	1.397779	-1.944004	-0.045032	0.115363	-0.041647	-0.369060	-0.690471	-0.341377	0.520102
59469	-9.461798	1.613351	-1.847734	0.096358	-0.074400	-0.038854	-0.368985	-0.690496	-0.341261	0.520198
59470	-9.498296	1.449389	-1.862556	-0.043778	0.017931	-0.025694	-0.368940	-0.690505	-0.341196	0.520261
59471	-9.531464	1.531961	-1.855067	0.016134	-0.032497	0.017657	-0.368828	-0.690543	-0.341053	0.520383
59472	-9.490615	1.508971	-1.816263	-0.011522	-0.049810	-0.032863	-0.368778	-0.690544	-0.340948	0.520486
59473	-9.465823	1.488143	-1.815325	-0.023077	-0.036836	-0.060258	-0.368773	-0.690516	-0.340895	0.520562
59474	-9.498056	1.461926	-1.903534	-0.009979	0.049892	-0.016201	-0.368679	-0.690545	-0.340803	0.520650
59475	-9.533833	1.581490	-1.848106	0.057764	-0.060333	0.026195	-0.368746	-0.690501	-0.340796	0.520666
59476	-9.497306	1.433045	-1.847358	-0.060141	0.018162	-0.032032	-0.368792	-0.690451	-0.340811	0.520690
59477	-9.460908	1.507215	-1.869382	0.022218	0.003918	-0.051819	-0.368782	-0.690440	-0.340763	0.520742
59478	-9.449352	1.530139	-1.805262	0.014640	-0.061545	-0.071715	-0.368754	-0.690427	-0.340786	0.520765
59479	-9.461768	1.525565	-1.811901	0.011543	-0.055239	-0.059114	-0.368738	-0.690428	-0.340834	0.520744
59480	-9.506192	1.482686	-1.796152	-0.042095	-0.052241	-0.025568	-0.368731	-0.690405	-0.340946	0.520706
59481	-9.524033	1.623041	-1.793534	0.072529	-0.127677	0.012621	-0.368803	-0.690333	-0.341115	0.520639
59482	-9.486407	1.425005	-1.865007	-0.052972	0.035680	-0.040445	-0.368853	-0.690281	-0.341291	0.520558
59483	-9.474782	1.519320	-1.888565	0.041740	0.008207	-0.032877	-0.368853	-0.690238	-0.341445	0.520514
59484	-9.483605	1.567483	-1.839038	0.058082	-0.061675	-0.026440	-0.368780	-0.690248	-0.341601	0.520450
59485	-9.479847	1.559598	-1.809395	0.038714	-0.085607	-0.036956	-0.368837	-0.690179	-0.341888	0.520313
59486	-9.434944	1.480072	-1.879414	0.015059	0.015764	-0.079214	-0.368877	-0.690105	-0.342208	0.520172
59487	-9.502697	1.558401	-1.804821	0.032313	-0.097966	-0.015922	-0.368725	-0.690136	-0.342420	0.520099
59488	-9.449729	1.507202	-1.843978	0.020191	-0.037920	-0.067563	-0.368778	-0.690053	-0.342793	0.519925
59489	-9.490917	1.365148	-1.904764	-0.080513	0.077216	-0.037371	-0.368658	-0.690064	-0.343065	0.519817
59490	-9.509500	1.430624	-1.886164	-0.036349	0.021439	-0.013039	-0.368397	-0.690165	-0.343169	0.519799
59491	-9.487760	1.443120	-1.909475	-0.008696	0.032145	-0.027741	-0.368152	-0.690262	-0.343238	0.519799
59492	-9.499663	1.375358	-1.944979	-0.050984	0.090823	-0.019460	-0.367780	-0.690429	-0.343160	0.519891
59493	-9.482498	1.382395	-1.954779	-0.035089	0.092933	-0.033113	-0.367418	-0.690600	-0.343033	0.520005
59494	-9.566499	1.462758	-1.918282	-0.001801	0.009693	0.053278	-0.367108	-0.690764	-0.342877	0.520108
59495	-9.547795	1.482677	-1.904570	0.013983	-0.013304	0.035446	-0.366770	-0.690917	-0.342691	0.520266
59496	-9.446774	1.438288	-1.938944	0.016648	0.045738	-0.062439	-0.366474	-0.691057	-0.342500	0.520414
59497	-9.494666	1.520998	-1.837974	0.029606	-0.089516	-0.023337	-0.366094	-0.691238	-0.342253	0.520604
59498	-9.461594	1.497092	-1.821023	0.009893	-0.091679	-0.062269	-0.365784	-0.691385	-0.342104	0.520724
59499	-9.484679	1.498001	-1.813584	0.002981	-0.103931	-0.041228	-0.365500	-0.691512	-0.342032	0.520802
59500	-9.518324	1.475768	-1.803409	-0.027138	-0.108549	-0.013905	-0.365215	-0.691634	-0.342030	0.520841
59501	-9.489286	1.487603	-1.874171	0.024077	-0.055367	-0.026555	-0.365032	-0.691708	-0.342110	0.520819
59502	-9.482263	1.412240	-1.905981	-0.022438	0.006516	-0.038233	-0.364828	-0.691801	-0.342190	0.520786
59503	-9.457554	1.418555	-1.964345	0.017136	0.051012	-0.049831	-0.364559	-0.691916	-0.342241	0.520788
59504	-9.475876	1.424352	-1.971243	0.021965	0.047474	-0.029842	-0.364379	-0.691995	-0.342352	0.520736
59505	-9.495871	1.418797	-1.999600	0.026800	0.069023	-0.005677	-0.364292	-0.692017	-0.342466	0.520693
59506	-9.489308	1.404542	-2.004918	0.019469	0.078770	-0.013054	-0.364205	-0.692033	-0.342574	0.520661
59507	-9.509407	1.460524	-1.939801	0.032059	-0.009719	0.001774	-0.364174	-0.692020	-0.342706	0.520613
59508	-9.491971	1.409097	-1.972478	0.008679	0.044531	-0.016174	-0.364214	-0.691946	-0.342880	0.520569
59509	-9.435828	1.443616	-1.871577	0.003830	-0.055503	-0.085479	-0.364052	-0.691976	-0.342913	0.520620
59510	-9.510579	1.444636	-1.897935	0.001788	-0.043027	-0.007669	-0.364025	-0.691952	-0.343059	0.520576
59511	-9.508734	1.425057	-1.889402	-0.017246	-0.042064	-0.013984	-0.363978	-0.691923	-0.343186	0.520564
59512	-9.468285	1.400454	-1.919445	-0.013501	-0.001746	-0.050835	-0.363936	-0.691892	-0.343330	0.520539
59513	-9.479690	1.375621	-2.051361	0.026941	0.121041	-0.017303	-0.363869	-0.691895	-0.343377	0.520551
59514	-9.522693	1.343634	-2.012773	-0.026665	0.098904	0.012168	-0.363725	-0.691904	-0.343320	0.520677
59515	-9.439499	1.380724	-2.000204	0.019410	0.077322	-0.065637	-0.363560	-0.691945	-0.343178	0.520831
59516	-9.461279	1.425469	-1.887857	0.000273	-0.043829	-0.060259	-0.363472	-0.691954	-0.343117	0.520920
59517	-9.506405	1.381907	-1.937390	-0.021779	0.016906	-0.012987	-0.363505	-0.691888	-0.343131	0.520977
59518	-9.574044	1.444223	-1.916887	0.007594	-0.038092	0.057523	-0.363471	-0.691867	-0.343081	0.521061
59519	-9.416077	1.480118	-1.878325	0.055838	-0.072487	-0.098111	-0.363566	-0.691776	-0.343120	0.521090
59520	-9.399709	1.387668	-1.876715	-0.018483	-0.024413	-0.127581	-0.363599	-0.691698	-0.343234	0.521095
59521	-9.457346	1.369417	-1.921091	-0.024556	0.016611	-0.065565	-0.363599	-0.691664	-0.343333	0.521075
59522	-9.583885	1.462550	-1.876619	0.005856	-0.082039	0.061766	-0.363656	-0.691600	-0.343490	0.521016
59523	-9.532299	1.401993	-1.934116	-0.006133	0.003034	0.014370	-0.363852	-0.691461	-0.343702	0.520925
59524	-9.428555	1.444576	-1.896094	0.035445	-0.040123	-0.087629	-0.364021	-0.691331	-0.343911	0.520841
59525	-9.454153	1.393648	-1.876643	-0.022568	-0.033818	-0.073930	-0.364137	-0.691249	-0.344131	0.520724
59526	-9.414273	1.400535	-1.960803	0.032461	0.037935	-0.095059	-0.364301	-0.691125	-0.344428	0.520577
59527	-9.511915	1.436316	-1.897556	0.011091	-0.045453	-0.007686	-0.364424	-0.691045	-0.344710	0.520410
59528	-9.578785	1.468283	-1.892227	0.020985	-0.074237	0.060688	-0.364627	-0.690903	-0.345069	0.520218
59529	-9.542047	1.379251	-1.934739	-0.026195	0.009614	0.020696	-0.364748	-0.690788	-0.345339	0.520107
59530	-9.467778	1.375612	-1.977000	0.008388	0.054421	-0.043521	-0.364762	-0.690717	-0.345463	0.520110
59531	-9.405876	1.397284	-1.945800	0.027344	0.021785	-0.106616	-0.364690	-0.690701	-0.345551	0.520123
59532	-9.459690	1.341926	-1.971837	-0.017890	0.064882	-0.057170	-0.364613	-0.690681	-0.345642	0.520143
59533	-9.500656	1.393421	-1.930642	-0.000879	-0.001933	-0.018227	-0.364551	-0.690646	-0.345727	0.520176
59534	-9.491474	1.372770	-1.969151	0.003552	0.041615	-0.022468	-0.364507	-0.690605	-0.345787	0.520222
59535	-9.554362	1.409223	-1.974834	0.025152	0.021527	0.044828	-0.364505	-0.690546	-0.345840	0.520266
59536	-9.537006	1.358587	-2.005956	0.001932	0.075831	0.026944	-0.364479	-0.690519	-0.345808	0.520342
59537	-9.515593	1.374126	-1.956316	-0.001987	0.029080	-0.001415	-0.364502	-0.690441	-0.345760	0.520462
59538	-9.488208	1.407023	-1.896783	0.005577	-0.034164	-0.035040	-0.364451	-0.690421	-0.345663	0.520588
59539	-9.477725	1.399695	-1.910895	0.009837	-0.015896	-0.043471	-0.364501	-0.690339	-0.345675	0.520653
59540	-9.485975	1.400560	-1.928311	0.018545	-0.000764	-0.031924	-0.364448	-0.690323	-0.345586	0.520771
59541	-9.494960	1.359094	-1.914098	-0.023882	0.007888	-0.031862	-0.364411	-0.690283	-0.345559	0.520868
59542	-9.491296	1.454770	-1.820354	0.015537	-0.119575	-0.040266	-0.364323	-0.690293	-0.345440	0.520996
59543	-9.542639	1.424511	-1.866951	0.001763	-0.068755	0.014416	-0.364358	-0.690238	-0.345474	0.521021
59544	-9.540249	1.346315	-1.881846	-0.056574	-0.015440	0.003973	-0.364449	-0.690158	-0.345533	0.521024
59545	-9.442735	1.341070	-1.933335	-0.014600	0.041423	-0.081317	-0.364303	-0.690235	-0.345407	0.521108
59546	-9.501211	1.414438	-1.939335	0.038237	0.003826	-0.013035	-0.364298	-0.690232	-0.345352	0.521152
59547	-9.566269	1.296206	-1.928824	-0.081410	0.048286	0.031349	-0.364177	-0.690301	-0.345212	0.521238
59548	-9.542982	1.457346	-1.852037	0.024640	-0.095592	0.016486	-0.364241	-0.690270	-0.345154	0.521272
59549	-9.480593	1.289082	-1.918217	-0.073979	0.053880	-0.054893	-0.364261	-0.690288	-0.345047	0.521305
59550	-9.495922	1.425435	-1.882560	0.021054	-0.045623	-0.027704	-0.364214	-0.690360	-0.344853	0.521371
59551	-9.473255	1.382585	-1.859769	-0.022332	-0.040099	-0.060214	-0.364221	-0.690397	-0.344743	0.521390
59552	-9.462206	1.377080	-1.875500	-0.018005	-0.021619	-0.068643	-0.364187	-0.690464	-0.344574	0.521436
59553	-9.510257	1.402837	-1.865736	-0.012562	-0.047059	-0.020265	-0.364174	-0.690528	-0.344472	0.521428
59554	-9.497459	1.409211	-1.860045	-0.008227	-0.053686	-0.032891	-0.364129	-0.690603	-0.344359	0.521435
59555	-9.458400	1.406159	-1.899797	0.015217	-0.014556	-0.063462	-0.364029	-0.690731	-0.344206	0.521436
59556	-9.505932	1.462243	-1.811649	0.008717	-0.123744	-0.026596	-0.364016	-0.690805	-0.344155	0.521381
59557	-9.507949	1.379539	-1.883688	-0.029648	-0.021515	-0.022327	-0.363944	-0.690919	-0.344105	0.521314
